Prev_Gear,Current_Gear,Speed,Acceleration,Brake,Torque
4,4,102.95,142.4,1.6,244.82
4,4,103.07,142.4,1.6,244.8
4,4,103.2,142.4,1.6,244.78
4,4,103.33,142.4,1.6,244.76
4,4,103.45,142.4,1.6,244.74
4,4,103.58,142.4,1.6,244.73
4,4,103.71,142.4,1.6,244.71
4,4,103.83,142.4,1.6,244.69
4,4,103.96,142.4,1.6,244.67
4,4,104.08,142.4,1.6,244.65
4,4,104.21,142.4,1.6,244.64
4,4,104.34,142.4,1.6,244.62
4,4,104.46,142.4,1.6,244.6
4,4,104.59,142.4,1.6,244.56
4,4,104.71,142.4,1.6,244.48
4,4,104.84,142.4,1.6,244.38
4,4,104.96,142.4,1.6,244.27
4,4,105.08,142.4,1.6,244.16
4,4,105.21,142.4,1.6,244.08
4,4,105.33,142.4,1.6,244.01
4,4,105.46,142.4,1.6,243.94
4,4,105.58,142.4,1.6,243.86
4,4,105.7,142.4,1.6,243.79
4,4,105.83,142.4,1.6,243.72
4,4,105.95,142.4,1.6,243.65
4,4,106.07,142.4,1.6,243.57
4,4,106.2,142.4,1.6,243.5
4,4,106.32,142.4,1.6,243.43
4,4,106.44,142.4,1.6,243.36
4,4,106.56,142.4,1.6,243.29
4,4,106.68,142.4,1.6,243.22
4,4,106.81,142.4,1.6,243.14
4,4,106.93,142.4,1.6,243.07
4,4,107.05,142.4,1.6,243
4,4,107.17,142.4,1.6,242.93
4,4,107.29,142.4,1.6,242.86
4,4,107.41,142.4,1.6,242.79
4,4,107.53,142.4,1.6,242.72
4,4,107.65,142.4,1.6,242.65
4,4,107.77,142.4,1.6,242.58
4,4,107.9,142.4,1.6,242.51
4,4,108.02,142.4,1.6,242.44
4,4,108.14,142.4,1.6,242.37
4,4,108.25,142.4,1.6,242.3
4,4,108.37,142.4,1.6,242.23
4,4,108.49,142.4,1.6,242.16
4,4,108.61,142.4,1.6,242.09
4,4,108.73,142.4,1.6,242.02
4,4,108.85,142.4,1.6,241.95
4,4,108.97,142.4,1.6,241.88
4,4,109.09,142.4,1.6,241.82
4,4,109.21,142.4,1.6,241.75
4,4,109.32,142.4,1.6,241.68
4,4,109.44,142.4,1.6,241.61
4,4,109.56,142.4,1.6,241.54
4,4,109.68,142.4,1.6,241.47
4,4,109.8,142.4,1.6,241.39
4,4,109.91,142.4,1.6,241.3
4,4,110.03,142.4,1.6,241.22
4,4,110.15,142.4,1.6,241.15
4,4,110.26,142.4,1.6,241.08
4,4,110.38,142.4,1.6,241.01
4,4,110.5,142.4,1.6,240.94
4,4,110.61,142.4,1.6,240.87
4,4,110.73,142.4,1.6,240.8
4,4,110.84,142.4,1.6,240.73
4,4,110.96,142.4,1.6,240.66
4,4,111.08,142.4,1.6,240.59
4,4,111.19,142.4,1.6,240.52
4,4,111.31,142.4,1.6,240.45
4,4,111.42,142.4,1.6,240.38
4,4,111.54,142.4,1.6,240.31
4,4,111.65,142.4,1.6,240.24
4,4,111.76,142.4,1.6,240.17
4,4,111.88,142.4,1.6,240.11
4,4,111.99,142.4,1.6,240.04
4,4,112.11,142.4,1.6,239.97
4,4,112.22,142.4,1.6,239.9
4,4,112.33,142.4,1.6,239.83
4,4,112.45,142.4,1.6,239.76
4,4,112.56,142.4,1.6,239.7
4,4,112.67,142.4,1.6,239.63
4,4,112.79,142.4,1.6,239.56
4,4,112.9,142.4,1.6,239.49
4,4,113.01,142.4,1.6,239.42
4,4,113.12,142.4,1.6,239.36
4,4,113.24,142.4,1.6,239.29
4,4,113.35,142.4,1.6,239.22
4,4,113.46,142.4,1.6,239.16
4,4,113.57,142.4,1.6,239.09
4,4,113.68,142.4,1.6,239.02
4,4,113.8,142.4,1.6,238.96
4,4,113.91,142.4,1.6,238.89
4,4,114.02,142.4,1.6,238.82
4,4,114.13,142.4,1.6,238.76
4,4,114.24,142.4,1.6,238.69
4,4,114.35,142.4,1.6,238.62
4,4,114.46,142.4,1.6,238.56
4,4,114.57,142.4,1.6,238.49
4,4,114.68,142.4,1.6,238.43
4,4,114.79,142.4,1.6,238.36
4,4,114.9,142.4,1.6,238.3
4,4,115.01,142.4,1.6,238.23
4,4,115.12,142.4,1.6,238.17
4,4,115.23,142.4,1.6,238.1
4,4,115.34,142.4,1.6,238.04
4,4,115.45,142.4,1.6,237.97
4,4,115.55,142.4,1.6,237.91
4,4,115.66,142.4,1.6,237.84
4,4,115.77,142.4,1.6,237.78
4,4,115.88,142.4,1.6,237.71
4,4,115.99,142.4,1.6,237.65
4,4,116.1,142.4,1.6,237.59
4,4,116.2,142.4,1.6,237.52
4,4,116.31,142.4,1.6,237.46
4,4,116.42,142.4,1.6,237.39
4,4,116.52,142.4,1.6,237.33
4,4,116.63,142.4,1.6,237.27
4,4,116.74,142.4,1.6,237.2
4,4,116.85,142.4,1.6,237.14
4,4,116.95,142.4,1.6,237.08
4,4,117.06,142.4,1.6,237.01
4,4,117.16,142.4,1.6,236.95
4,4,117.27,142.4,1.6,236.89
4,4,117.38,142.4,1.6,236.83
4,4,117.48,142.4,1.6,236.76
4,4,117.59,142.4,1.6,236.7
4,4,117.69,142.4,1.6,236.64
4,4,117.8,142.4,1.6,236.58
4,4,117.9,142.4,1.6,236.52
4,4,118.01,142.4,1.6,236.45
4,4,118.11,142.4,1.6,236.39
4,4,118.22,142.4,1.6,236.33
4,4,118.32,142.4,1.6,236.27
4,4,118.43,142.4,1.6,236.21
4,4,118.53,142.4,1.6,236.15
4,4,118.63,142.4,1.6,236.09
4,4,118.74,142.4,1.6,236.02
4,4,118.84,142.4,1.6,235.96
4,4,118.94,142.4,1.6,235.9
4,4,119.05,142.4,1.6,235.84
4,4,119.15,142.4,1.6,235.78
4,4,119.25,142.4,1.6,235.72
4,4,119.36,142.4,1.6,235.66
4,4,119.46,142.4,1.6,235.6
4,4,119.56,142.4,1.6,235.54
4,4,119.6,128.27,1.6,233.94
4,4,119.64,128.27,1.6,231.75
4,4,119.66,128.27,1.6,230.92
4,4,119.74,128.27,1.6,229.36
4,4,119.76,128.27,1.6,229.21
4,4,119.84,128.27,1.6,228.98
4,4,119.86,128.27,1.6,228.96
4,4,119.92,128.27,1.6,228.9
4,4,119.95,128.27,1.6,228.87
4,4,120.05,128.27,1.6,228.8
4,4,120.15,128.27,1.6,228.74
4,4,120.24,128.27,1.6,228.67
4,4,120.34,128.27,1.6,228.61
4,4,120.44,128.27,1.6,228.59
4,4,120.53,128.27,1.6,228.59
4,4,120.63,128.27,1.6,228.59
4,4,120.72,128.27,1.6,228.59
4,4,120.82,128.27,1.6,228.6
4,4,120.91,128.27,1.6,228.6
4,4,121.01,128.27,1.6,228.6
4,4,121.1,128.27,1.6,228.61
4,4,121.2,128.27,1.6,228.61
4,4,121.3,128.27,1.6,228.61
4,4,121.39,128.27,1.6,228.62
4,4,121.48,128.27,1.6,228.62
4,4,121.58,128.27,1.6,228.62
4,4,121.67,128.27,1.6,228.63
4,4,121.77,128.27,1.6,228.63
4,4,121.86,128.27,1.6,228.63
4,4,121.96,128.27,1.6,228.64
4,4,122.05,128.27,1.6,228.64
4,4,122.15,128.27,1.6,228.64
4,4,122.24,128.27,1.6,228.64
4,4,122.33,128.27,1.6,228.65
4,4,122.43,128.27,1.6,228.65
